Pavimento,Detectores Fumaça,Acionadores Manuais,Avisadores Audiovisuais,Quadros Comando (estimado),Observação
01° Térreo,21,3,6,2,Áreas comuns e circulação
02° G1,27,2,5,2,Garagem + circulação vertical
03° G2,25,2,5,2,Garagem + circulação vertical
04° G3,27,2,5,2,Garagem + circulação vertical
05° G4,25,2,5,2,Garagem + circulação vertical
06° G5,25,2,5,2,Garagem + circulação vertical
07° Lazer,24,3,16,3,Múltiplas áreas de convívio
08° Tipo,13,2,2,2,Repetir 24x (8° ao 31°)
Casa de Máquinas,10,0,0,1,Cobertura - áreas técnicas
TOTAL ÚNICO,182,18,54,18,Soma pavimentos únicos
TOTAL TIPO (24x),312,48,48,48,Tipo × 24 pavimentos
TOTAL GERAL,494,72,102,50*,* Estimativa - verificar pranchas

EQUIPAMENTOS GERAIS
Item,Especificação,Unidade,Quantidade,Status,Observação
Central de Alarme de Incêndio,"Endereçável, mín. 500 pontos",UN,3,Confirmado,Principal + redundâncias
Bateria 24V,18Ah ou superior (NBR 17240),UN,6,A confirmar,2 por central (estimativa)
Fonte de Alimentação,24V estabilizada,UN,3,A confirmar,1 por central

CABEAMENTO (ESTIMATIVAS)
Item,Especificação,Unidade,Quantidade Estimada,Status,Método
Cabo PP 2x2.5mm²,Cabo de sinal PCI (NBR 17240),m,10000,Estimativa paramétrica,15-20m por ponto × 566 pontos
Cabo 2x2.5mm²,Alimentação avisadores,m,2000,Estimativa paramétrica,~20m por avisador × 102
Eletroduto PVC ⌀20mm,Instalação aparente/embutida,m,6000,Estimativa paramétrica,10-12m por ponto
Eletroduto metálico ⌀20mm,Áreas molhadas/garagens,m,1500,Estimativa paramétrica,25% do total
Caixa 4x2",Derivações,UN,190,Estimativa paramétrica,1 a cada 3 pontos
Caixa 4x4",Distribuição principal,UN,50,Estimativa paramétrica,~1 por pavimento + extras

ACESSÓRIOS (A CONFIRMAR)
Item,Especificação,Unidade,Quantidade,Status,Observação
Terminal de linha (EOL),Fim de circuito,UN,?,A confirmar,Verificar memorial
Isolador de curto-circuito,Proteção de loops,UN,?,A confirmar,Verificar memorial
Módulo relé interface,Saídas auxiliares,UN,?,A confirmar,Interface com outros sistemas
Resistor de fim de linha,Para acionadores/detectores,UN,?,A confirmar,Conforme projeto
